Абдрахимово 10.2.2.1
Абдуллино 10.2.3.1
Абдулово 10.2.4.1
Абзаково 10.2.5.1
Абзаново 10.2.6.1
Абубакирово 10.2.7.1
Акбулатово 10.2.8.1
Аксаитово 10.2.9.1
Аксеново 10.2.10.1
Алмалы 10.2.11.1
Амангильдино 10.2.12.1
Аркаулово 10.2.13.1
Арслано-Амекачево 10.2.14.1
Аскино 10.2.15.1
Ахуново 10.2.16.1
Баимово 10.2.20.1
Байки 10.2.17.1
Байки-Юнусово 10.2.18.1
Баймак 10.2.19.1
Байназарово 10.2.21.1
Барабановка 10.2.22.1
Барсуанбашево 10.2.23.1
Башкибаш 10.2.24.1
Белебей 10.2.25.1
Белорецк 10.2.26.1
Белянка 10.2.27.1
Бижбуляк 10.2.28.1
Билялово 10.2.29.1
Бирск 10.2.30.1
Благовар 10.2.31.1
Благовещенка 10.2.32.1
Богданово 10.2.33.1
Болотино 10.2.34.1
Большесухоязово 10.2.35.1
Большеустьикинское 10.2.36.1
Буданьяр 10.2.37.1
Буйда 10.2.38.1
Букленды 10.2.39.1
Бураево 10.2.40.1
Буранбаево 10.2.41.1
Бурибай 10.2.42.1
Бурный_Поток 10.2.43.1
Валентиновка 10.2.44.1
Верхнеиткулово 10.2.48.1
Верхние_Киги 10.2.45.1
Верхние_Татышлы 10.2.46.1
Верхний_Авзян 10.2.47.1
Воздвиженка 10.2.49.1
Восточный 10.2.50.1
Дуван 10.2.51.1
Дуван-Мечетлино 10.2.52.1
Дюртюли 10.2.53.1
Еланлино 10.2.54.1
Еникеево 10.2.55.1
Ермекеево 10.2.56.1
Ермунчино 10.2.57.1
Зейлево 10.2.58.1
Зилаир 10.2.59.1
Зириклы 10.2.60.1
Ивановка(Хайбулинский) 10.2.61.1
Ивановка(Давлекановский) 10.2.62.1
Идельбаково 10.2.63.1
Ильчимбетово 10.2.64.1
Им_8_Марта 10.2.65.1
Имай-Утарово 10.2.66.1
Имянник 10.2.67.1
Инзер 10.2.68.1
Ирек 10.2.69.1
Источник 10.2.70.1
Исянгулово 10.2.71.1
Иттихат 10.2.72.1
Ишемгул 10.2.73.1
Ишимбай 10.2.74.1
Ишкулово 10.2.75.1
Иштиряково 10.2.76.1
Казанка 10.2.77.1
Казмашево 10.2.78.1
Кайраково 10.2.79.1
Калмакларово 10.2.80.1
Калтасы 10.2.81.1
Кальтяево 10.2.82.1
Камеево 10.2.83.1
Каменка 10.2.84.1
Караидель 10.2.85.1
Карасимово 10.2.86.1
Карлыханово 10.2.87.1
Кармаскалы 10.2.88.1
Каскиново 10.2.89.1
Качкиново 10.2.90.1
Кашкалаши 10.2.91.1
Кашкарово 10.2.92.1
Кашкино 10.2.93.1
Кекен-Васильевка 10.2.94.1
Комсомольск 10.2.95.1
Красноусольский 10.2.96.1
Красный_Ключ 10.2.97.1
Красный_Маяк 10.2.98.1
Кугарчи 10.2.99.1
Кузнецовский 10.2.100.1
Кумертау 10.2.101.1
Кункас 10.2.102.1
Курманаево 10.2.103.1
Кусимово 10.2.104.1
Куюргазы 10.2.105.1
Леуза 10.2.106.1
Магинск 10.2.107.1
Майский 10.2.108.1
Маломаксютово 10.2.109.1
Межгорье_Центр 10.2.110.1
Межгорье_Ю-З 10.2.111.1
Месягутово 10.2.112.1
Метевбаш 10.2.113.1
Метели 10.2.114.1
Миндяк 10.2.115.1
Михайловка 10.2.116.1
Мишкино 10.2.117.1
Мраково 10.2.118.1
Набережный 10.2.119.1
Нагаево 10.2.120.1
Наумовка 10.2.121.1
Нижнетроицкий 10.2.122.1
Николаевка 10.2.123.1
Новая_Казанковка 10.2.124.1
Новобабичево 10.2.125.1
Новобелокатай 10.2.126.1
Новокильметово 10.2.127.1
Новокуктово 10.2.128.1
Новоминзитарово 10.2.129.1
Новонагаево 10.2.130.1
Новонадеждино 10.2.131.1
Новотавларово 10.2.132.1
Новохвалынский 10.2.133.1
Новые_Казанчи 10.2.134.1
Новые_Карамалы 10.2.135.1
Новые_Тукмаклы 10.2.136.1
Новый_Амзибаш 10.2.137.1
Нугуш 10.2.138.1
Нуреево 10.2.139.1
Нурлино 10.2.140.1
Октябрьский 10.2.141.1
Павловка 10.2.142.1
Первомайский 10.2.143.1
Петропавловка 10.2.144.1
Подлубово 10.2.145.1
Равилово 10.2.146.1
Рапатово 10.2.147.1
Рождественское 10.2.148.1
Романовка 10.2.149.1
Саитбаба 10.2.150.1
Салаватово 10.2.151.1
Салихово 10.2.152.1
Сафарово 10.2.153.1
Свобода 10.2.154.1
Семилетка 10.2.155.1
Серафимовский 10.2.156.1
Серменево 10.2.157.1
Сибай 10.2.158.1
Староактау 10.2.159.1
Старобайрамгулово 10.2.160.1
Старогусево 10.2.161.1
Староежово 10.2.162.1
Староисаево 10.2.163.1
Старокальмиярово 10.2.164.1
Старосубхангулово 10.2.165.1
Старые_Тукмаклы 10.2.166.1
Старый_Курдым 10.2.167.1
Стерлибашево 10.2.168.1
Суерметово 10.2.169.1
Сунгур 10.2.170.1
Таваканово 10.2.171.1
Тавтиманово 10.2.172.1
Тазларово 10.2.173.1
Темясово 10.2.174.1
Тереклы 10.2.175.1
Тимяшево 10.2.176.1
Тирлянский 10.2.177.1
Толбазы 10.2.178.1
Толбазы(Кушнаренковский) 10.2.179.1
Тубинский 10.2.180.1
Тубяк-Тазларово 10.2.181.1
Туймазы 10.2.182.1
Тукаево 10.2.183.1
Тукан 10.2.184.1
Туркменево_1-Е 10.2.185.1
Тюлябаево 10.2.186.1
Тюпкильды 10.2.187.1
Узян 10.2.188.1
Уманка 10.2.189.1
Умирово 10.2.190.1
Уразово 10.2.191.1
Уральск 10.2.192.1
Ургала 10.2.193.1
Ургуш 10.2.194.1
Утягулово 10.2.195.1
Уфа 10.2.1.1
Уфимский 10.2.196.1
Учалле 10.2.217.1
Учалы_Город 10.2.197.1
Учалы_Село 10.2.198.1
Целинное 10.2.199.1
Чишма 10.2.200.1
Чишма-Уракаево 10.2.201.1
Шаран 10.2.202.1
Шафраново 10.2.203.1
Шигаево 10.2.204.1
Шулганово 10.2.205.1
Югамаш 10.2.206.1
Юлдашево(Федоровский) 10.2.208.1
Юлдашево(Учалинский) 10.2.207.1
Юлдыбаево 10.2.209.1
Юмашево 10.2.210.1
Язги-Юрт 10.2.211.1
Якты-Ялан 10.2.212.1
Янаул 10.2.213.1
Яныбаево 10.2.214.1
Яшерганово 10.2.215.1
