2023-02-10 13:02:55 - Starting VsatApplication using Java 18.0.2 with PID 19880 (C:\Users\svsmirnov\Desktop\vsat\target\classes started by svsmirnov in C:\Users\svsmirnov\Desktop\vsat)
2023-02-10 13:02:55 - No active profile set, falling back to 1 default profile: "default"
2023-02-10 13:02:56 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-02-10 13:02:56 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-02-10 13:03:00 - Tomcat initialized with port(s): 8088 (http)
2023-02-10 13:03:00 - Starting service [Tomcat]
2023-02-10 13:03:00 - Starting Servlet engine: [Apache Tomcat/10.1.4]
2023-02-10 13:03:00 - Initializing Spring embedded WebApplicationContext
2023-02-10 13:03:00 - Root WebApplicationContext: initialization completed in 4604 ms
2023-02-10 13:03:02 - Adding welcome page template: index
2023-02-10 13:03:03 - LiveReload server is running on port 35729
2023-02-10 13:03:03 - Tomcat started on port(s): 8088 (http) with context path ''
2023-02-10 13:03:03 - Started VsatApplication in 10.127 seconds (process running for 12.434)
2023-02-10 13:03:04 - 10.2.122.1 - Error: Response PDU is null
2023-02-10 13:03:04 - 10.2.182.1 - Error: Response PDU is null
2023-02-10 13:03:04 - 10.2.102.1 - Error: Response PDU is null
2023-02-10 13:03:04 - 10.2.42.1 - Error: Response PDU is null
2023-02-10 13:03:04 - 10.2.82.1 - Error: Response PDU is null
2023-02-10 13:03:06 - 10.2.4.1 - Error: Response PDU is null
2023-02-10 13:03:06 - 10.2.63.1 - Error: Response PDU is null
2023-02-10 13:03:07 - 10.2.123.1 - Error: Response PDU is null
2023-02-10 13:03:07 - 10.2.183.1 - Error: Response PDU is null
2023-02-10 13:03:07 - 10.2.43.1 - Error: Response PDU is null
2023-02-10 13:03:07 - 10.2.83.1 - Error: Response PDU is null
2023-02-10 13:03:08 - 10.2.25.1 - Error: Response PDU is null
2023-02-10 13:03:09 - 10.2.202.1 - Error: Response PDU is null
2023-02-10 13:03:09 - 10.2.64.1 - Error: Response PDU is null
2023-02-10 13:03:10 - 10.2.145.1 - Error: Response PDU is null
2023-02-10 13:03:10 - 10.2.124.1 - Error: Response PDU is null
2023-02-10 13:03:10 - 10.2.84.1 - Error: Response PDU is null
2023-02-10 13:03:11 - 10.2.26.1 - Error: Response PDU is null
2023-02-10 13:03:11 - 10.2.48.1 - Error: Response PDU is null
2023-02-10 13:03:11 - 10.2.106.1 - Error: Response PDU is null
2023-02-10 13:03:11 - 10.2.166.1 - Error: Response PDU is null
2023-02-10 13:03:12 - 10.2.203.1 - Error: Response PDU is null
2023-02-10 13:03:12 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-02-10 13:03:12 - Initializing Servlet 'dispatcherServlet'
2023-02-10 13:03:12 - Completed initialization in 3 ms
2023-02-10 13:03:12 - 10.2.65.1 - Error: Response PDU is null
2023-02-10 13:03:13 - 10.2.85.1 - Error: Response PDU is null
2023-02-10 13:03:14 - 10.2.107.1 - Error: Response PDU is null
2023-02-10 13:03:14 - 10.2.167.1 - Error: Response PDU is null
2023-02-10 13:03:15 - 10.2.46.1 - Error: Response PDU is null
2023-02-10 13:03:16 - 10.2.126.1 - Error: Response PDU is null
2023-02-10 13:03:16 - 10.2.86.1 - Error: Response PDU is null
2023-02-10 13:03:16 - 10.2.205.1 - Error: Response PDU is null
2023-02-10 13:03:17 - 10.2.10.1 - Error: Response PDU is null
2023-02-10 13:03:17 - 10.2.168.1 - Error: Response PDU is null
2023-02-10 13:03:18 - 10.2.47.1 - Error: Response PDU is null
2023-02-10 13:03:18 - 10.2.68.1 - Error: Response PDU is null
2023-02-10 13:03:19 - 10.2.109.1 - Error: Response PDU is null
2023-02-10 13:03:19 - 10.2.127.1 - Error: Response PDU is null
2023-02-10 13:03:19 - 10.2.149.1 - Error: Response PDU is null
2023-02-10 13:03:19 - 10.2.206.1 - Error: Response PDU is null
2023-02-10 13:03:20 - 10.2.11.1 - Error: Response PDU is null
2023-02-10 13:03:20 - 10.2.169.1 - Error: Response PDU is null
2023-02-10 13:03:21 - 10.2.88.1 - Error: Response PDU is null
2023-02-10 13:03:21 - 10.2.69.1 - Error: Response PDU is null
2023-02-10 13:03:22 - 10.2.110.1 - Error: Response PDU is null
2023-02-10 13:03:22 - 10.2.190.1 - Error: Response PDU is null
2023-02-10 13:03:22 - 10.2.128.1 - Error: Response PDU is null
2023-02-10 13:03:23 - 10.2.12.1 - Error: Response PDU is null
2023-02-10 13:03:23 - 10.2.170.1 - Error: Response PDU is null
2023-02-10 13:03:24 - 10.2.51.1 - Error: Response PDU is null
2023-02-10 13:03:24 - 10.2.70.1 - Error: Response PDU is null
2023-02-10 13:03:26 - 10.2.90.1 - Error: Response PDU is null
2023-02-10 13:03:26 - 10.2.171.1 - Error: Response PDU is null
2023-02-10 13:03:26 - 10.2.152.1 - Error: Response PDU is null
2023-02-10 13:03:27 - 10.2.35.1 - Error: Response PDU is null
